rank,name,score,additional
1,12,chatgpt-image-latest-high-fidelity (20251216)OpenAI · Proprietary,"1398±4 | 282,599"
2,14,gemini-3-pro-image-preview-2k (nano-banana-pro)Google · Proprietary,"1391±4 | 264,935"
3,24,gemini-3-pro-image-preview (nano-banana-pro)Google · Proprietary,"1389±3 | 518,705"
4,25,gemini-3.1-flash-image-preview (nano-banana-2) [web-search]Google · Proprietary,"1387±4 | 86,607"
5,45,gpt-image-1.5-high-fidelityOpenAI · Proprietary,"1381±4 | 301,379"
6,66,grok-imagine-imagexAI · Proprietary,"1338±4 | 28,700"
7,78,grok-imagine-image-pro (20260207)xAI · Proprietary,"1320±4 | 151,506"
8,79,grok-imagine-image (20260207)xAI · Proprietary,"1314±4 | 146,247"
9,911,Bytedanceseedream-4.5Bytedance · Proprietary,"1307±3 | 526,556"
10,812,Tencenthunyuan-image-3.0-instructTencent · tencent-hunyuan-community,"1307±4 | 125,713"
11,912,gemini-2.5-flash-image-preview (nano-banana)Google · Proprietary,"1305±2 | 10,627,636"
12,1012,Bytedanceseedream-5.0-liteBytedance · Proprietary,"1300±4 | 72,417"
13,1313,Bytedanceseedream-4-2kBytedance · Proprietary,"1276±6 | 213,027"
14,1415,Fluxflux-2-maxBlack Forest Labs · Proprietary,"1263±3 | 218,476"
15,1415,reve-v1.1Reve · Proprietary,"1261±3 | 412,836"
16,1617,Fluxflux-2-proBlack Forest Labs · Proprietary,"1244±3 | 226,296"
17,1619,reve-v1Reve · Proprietary,"1239±5 | 380,896"
18,1719,qwen-image-editAlibaba · Apache 2.0,"1237±2 | 1,812,989"
19,1722,qwen-image-edit-2511Alibaba · Apache 2.0,"1234±3 | 201,539"
20,1924,Bytedanceseedream-4-high-res-falBytedance · Proprietary,"1230±3 | 1,040,339"
21,1924,Fluxflux-2-flexBlack Forest Labs · Proprietary,"1230±3 | 287,286"
22,1924,wan2.6-imageAlibaba · Proprietary,"1228±4 | 224,804"
23,2024,Fluxflux-2-devBlack Forest Labs · flux-non-commercial-license,"1227±4 | 153,432"
24,2024,Fluxflux-2-klein-9bBlack Forest Labs · flux-non-commercial-license,"1226±3 | 284,701"
25,2527,Bytedanceseedream-4-falBytedance · Proprietary,"1215±6 | 153,923"
26,2527,p-image-editPruna · Proprietary,"1211±3 | 184,060"
27,2527,reve-v1.1-fastReve · Proprietary,"1210±3 | 321,245"
28,2828,reve-edit-fastReve · Proprietary,"1203±4 | 221,400"
29,2931,Fluxflux-2-klein-4bBlack Forest Labs · Apache 2.0,"1189±3 | 284,767"
30,2932,wan2.5-i2i-previewAlibaba · Proprietary,"1186±4 | 195,714"
31,2931,Fluxflux-1-kontext-maxBlack Forest Labs · Proprietary,"1186±2 | 391,638"
32,3132,Fluxflux-1-kontext-proBlack Forest Labs · Proprietary,"1180±2 | 6,423,687"
33,3333,Fluxflux-1-kontext-devBlack Forest Labs · flux-1-dev-non-commercial-license,"1154±3 | 3,651,777"
34,3435,Bytedanceseededit-3.0Bytedance · Proprietary,"1144±3 | 4,949,684"
35,3435,gpt-image-1OpenAI · Proprietary,"1143±3 | 2,861,431"
36,3636,gpt-image-1-miniOpenAI · Proprietary,"1126±3 | 529,183"
37,3737,gemini-2.0-flash-preview-image-generationGoogle · Proprietary,"1085±2 | 4,965,267"
38,3838,BytedancebagelBytedance · Apache 2.0,"1030±5 | 13,558"
39,3939,Stepfunstep1x-editStepFun · Apache 2.0,"1003±4 | 155,702"
