rank,name,score,additional
1,13,grok-imagine-video-720pxAI · Proprietary,"1404±6 | 66,616"
2,14,veo-3.1-audio-1080pGoogle · Proprietary,"1402±12 | 9,786"
3,16,veo-3.1-audioGoogle · Proprietary,"1395±11 | 23,406"
4,26,veo-3.1-fast-audio-1080pGoogle · Proprietary,"1383±13 | 10,273"
5,36,grok-imagine-video-480pxAI · Proprietary,"1381±9 | 19,518"
6,36,veo-3.1-fast-audioGoogle · Proprietary,"1380±10 | 51,820"
7,79,vidu-q3-proShengshu · Proprietary,"1353±8 | 37,094"
8,711,wan2.5-i2v-previewAlibaba · Proprietary,"1339±12 | 12,023"
9,711,kling-v3-proKlingAI · Proprietary,"1334±11 | 4,111"
10,811,veo-3-audioGoogle · Proprietary,"1331±11 | 34,535"
11,811,veo-3-fast-audioGoogle · Proprietary,"1322±9 | 43,885"
12,1215,Bytedanceseedance-v1.5-proBytedance · Proprietary,"1300±9 | 68,850"
13,1216,wan2.6-i2vAlibaba · Proprietary,"1297±14 | 14,157"
14,1216,kling-2.6-proKlingAI · Proprietary,"1289±9 | 67,714"
15,1218,pixverse-v5.6Pixverse · Proprietary,"1279±13 | 3,911"
16,1518,Bytedanceseedance-v1-proBytedance · Proprietary,"1272±7 | 36,448"
17,1321,kling-2.5-turbo-1080pKlingAI · Proprietary,"1272±12 | 3,871"
18,1521,veo-3-fastGoogle · Proprietary,"1256±9 | 27,848"
19,1721,Minimaxhailuo-2.3MiniMax · Proprietary,"1255±7 | 72,452"
20,1721,veo-3Google · Proprietary,"1254±10 | 27,715"
21,1727,vidu-q2-turboShengshu · Proprietary,"1244±17 | 2,477"
22,2127,kling-v2.1-masterKlingAI · Proprietary,"1232±7 | 32,229"
23,2127,Minimaxhailuo-02-proMiniMax · Proprietary,"1228±10 | 23,821"
24,2127,kling-v2.1-standardKlingAI · Proprietary,"1225±8 | 32,238"
25,2129,vidu-q2-proShengshu · Proprietary,"1224±16 | 2,562"
26,2127,Minimaxhailuo-02-standardMiniMax · Proprietary,"1222±9 | 23,636"
27,2130,Lumaray-3Luma AI · Proprietary,"1221±19 | 1,578"
28,2631,p-videoPruna · Proprietary,"1195±13 | 8,919"
29,2731,Minimaxhailuo-02-fastMiniMax · Proprietary,"1194±10 | 24,563"
30,2632,Tencenthunyuan-video-1.5Tencent · tencent-hunyuan-community,"1193±15 | 5,429"
31,2833,Bytedanceseedance-v1-liteBytedance · Proprietary,"1182±7 | 36,093"
32,3133,wan-v2.2-a14bAlibaba · Apache 2.0,"1167±9 | 29,434"
33,3033,veo-2Google · Proprietary,"1164±16 | 11,532"
34,3435,Lightricksltx-2-19blightricks · ltx-2-community-license-agreement,"1126±7 | 48,785"
35,3435,Lumaray2Luma AI · Proprietary,"1104±16 | 10,821"
36,3636,Runwayrunway-gen4-turboRunway · Proprietary,"1047±13 | 7,506"
37,3737,Pikapika-v2.2Pika · Proprietary,"994±13 | 9,453"
