rank,name,score,additional
1,16,veo-3.1-audio-1080pGoogle · Proprietary,"1381±16 | 5,537"
2,16,veo-3.1-fast-audio-1080pGoogle · Proprietary,"1378±14 | 5,743"
3,18,veo-3.1-audioGoogle · Proprietary,"1371±14 | 12,604"
4,18,sora-2-proOpenAI · Proprietary,"1367±9 | 18,963"
5,18,veo-3.1-fast-audioGoogle · Proprietary,"1366±11 | 25,377"
6,110,grok-imagine-video-720pxAI · Proprietary,"1358±9 | 33,739"
7,310,veo-3-fast-audioGoogle · Proprietary,"1351±11 | 25,765"
8,310,wan2.6-t2vAlibaba · Proprietary,"1347±17 | 6,446"
9,610,sora-2OpenAI · Proprietary,"1342±8 | 25,157"
10,610,veo-3-audioGoogle · Proprietary,"1341±12 | 19,331"
11,1114,wan2.5-t2v-previewAlibaba · Proprietary,"1268±17 | 6,079"
12,1114,veo-3Google · Proprietary,"1257±11 | 15,176"
13,1114,Bytedanceseedance-v1.5-proBytedance · Proprietary,"1255±8 | 31,616"
14,1115,veo-3-fastGoogle · Proprietary,"1251±12 | 15,453"
15,1420,pixverse-v5.6Pixverse · Proprietary,"1228±14 | 2,275"
16,1522,kling-2.5-turbo-1080pKlingAI · Proprietary,"1221±17 | 2,052"
17,1521,kling-2.6-proKlingAI · Proprietary,"1219±8 | 38,740"
18,1523,Runwayrunway-gen-4.5Runway · Proprietary,"1214±11 | 3,932"
19,1528,kling-o1-proKlingAI · Proprietary,"1208±27 | 1,198"
20,1527,Lumaray-3Luma AI · Proprietary,"1204±23 | 1,057"
21,1626,Minimaxhailuo-02-proMiniMax · Proprietary,"1200±12 | 9,879"
22,1726,Minimaxhailuo-2.3MiniMax · Proprietary,"1196±8 | 26,762"
23,1828,Bytedanceseedance-v1-proBytedance · Proprietary,"1192±11 | 12,882"
24,1929,Minimaxhailuo-02-standardMiniMax · Proprietary,"1181±12 | 9,931"
25,1929,p-videoPruna · Proprietary,"1180±15 | 3,589"
26,1929,kandinsky-5.0-t2v-proKandinsky · MIT,"1179±21 | 1,886"
27,2129,Tencenthunyuan-video-1.5Tencent · tencent-hunyuan-community,"1171±16 | 4,097"
28,2429,kling-v2.1-masterKlingAI · Proprietary,"1168±9 | 14,512"
29,2229,veo-2Google · Proprietary,"1166±16 | 7,098"
30,3033,wan-v2.2-a14bAlibaba · Apache 2.0,"1130±15 | 11,158"
31,3033,Lightricksltx-2-19blightricks · ltx-2-community-license-agreement,"1122±10 | 21,120"
32,3033,Bytedanceseedance-v1-liteBytedance · Proprietary,"1114±9 | 16,703"
33,3033,kandinsky-5.0-t2v-liteKandinsky · MIT,"1112±18 | 1,353"
34,3435,soraOpenAI · Proprietary,"1071±14 | 4,516"
35,3435,Lumaray2Luma AI · Proprietary,"1066±17 | 5,609"
36,3637,Pikapika-v2.2Pika · Proprietary,"1011±15 | 6,495"
37,3637,mochi-v1Genmo AI · Apache 2.0,"999±16 | 6,676"
