rank,name,score,additional
1,11,gemini-3.1-flash-image-preview (nano-banana-2) [web-search]Google · Proprietary,"1265±6 | 26,666"
2,22,gpt-image-1.5-high-fidelityOpenAI · Proprietary,"1244±4 | 66,785"
3,34,gemini-3-pro-image-preview-2k (nano-banana-pro)Google · Proprietary,"1233±5 | 61,854"
4,34,gemini-3-pro-image-preview (nano-banana-pro)Google · Proprietary,"1232±5 | 82,543"
5,55,mai-image-2Microsoft AI · Proprietary,"1190±6 | 11,001"
6,67,reve-v1.5Reve · Proprietary,"1177±6 | 7,797"
7,68,grok-imagine-imagexAI · Proprietary,"1173±4 | 53,997"
8,710,Fluxflux-2-maxBlack Forest Labs · Proprietary,"1166±4 | 70,018"
9,811,grok-imagine-image-proxAI · Proprietary,"1162±4 | 51,368"
10,812,Fluxflux-2-flexBlack Forest Labs · Proprietary,"1158±4 | 106,432"
11,912,Fluxflux-2-proBlack Forest Labs · Proprietary,"1158±4 | 101,679"
12,1014,gemini-2.5-flash-image-preview (nano-banana)Google · Proprietary,"1155±3 | 701,554"
13,1216,Tencenthunyuan-image-3.0Tencent · tencent-hunyuan-community,"1151±3 | 172,703"
14,1217,Fluxflux-2-devBlack Forest Labs · flux-non-commercial-license,"1148±5 | 53,352"
15,1317,imagen-ultra-4.0-generate-001Google · Proprietary,"1148±4 | 387,965"
16,1317,Bytedanceseedream-4.5Bytedance · Proprietary,"1144±3 | 109,184"
17,1420,Bytedanceseedream-4-2kBytedance · Proprietary,"1141±6 | 12,608"
18,1720,qwen-image-2512Alibaba · Apache 2.0,"1136±4 | 51,472"
19,1720,wan2.6-t2iAlibaba · Proprietary,"1135±4 | 51,327"
20,1720,imagen-4.0-generate-001Google · Proprietary,"1132±3 | 464,649"
21,2125,wan2.5-t2i-previewAlibaba · Proprietary,"1117±3 | 144,593"
22,2125,Bytedanceseedream-4-falBytedance · Proprietary,"1117±6 | 11,847"
23,2125,gpt-image-1OpenAI · Proprietary,"1115±3 | 264,676"
24,2125,Bytedanceseedream-5.0-liteBytedance · Proprietary,"1115±5 | 25,118"
25,2125,Bytedanceseedream-4-high-res-falBytedance · Proprietary,"1113±4 | 120,838"
26,2627,gpt-image-1-miniOpenAI · Proprietary,"1104±4 | 110,053"
27,2628,Recraftrecraft-v4Recraft · Proprietary,"1099±6 | 18,350"
28,2728,mai-image-1Microsoft AI · Proprietary,"1093±4 | 94,380"
29,2931,Bytedanceseedream-3Bytedance · Proprietary,"1083±5 | 36,847"
30,2931,z-image-turboAlibaba · Apache 2.0,"1077±6 | 13,143"
31,2931,Fluxflux-1-kontext-maxBlack Forest Labs · Proprietary,"1075±3 | 65,635"
32,3233,Fluxflux-2-klein-9bBlack Forest Labs · flux-non-commercial-license,"1067±4 | 63,340"
33,3236,qwen-image-prompt-extendAlibaba · Apache 2.0,"1061±3 | 615,052"
34,3336,Fluxflux-1-kontext-proBlack Forest Labs · Proprietary,"1059±3 | 330,692"
35,3336,imagen-3.0-generate-002Google · Proprietary,"1058±3 | 360,180"
36,3336,qwen-imageAlibaba · Apache 2.0,"1057±2 | 84,677"
37,3737,Ideogramideogram-v3-qualityIdeogram · Proprietary,"1049±4 | 115,098"
38,3839,LumaphotonLuma AI · Proprietary,"1035±4 | 127,367"
39,3839,p-imagePruna · Proprietary,"1034±4 | 45,001"
40,4044,Fluxflux-2-klein-4bBlack Forest Labs · Apache 2.0,"1021±4 | 64,326"
41,4044,Recraftrecraft-v3Recraft · Proprietary,"1021±4 | 191,824"
42,4046,Runwayrunway-gen4Runway · Proprietary,"1016±8 | 7,643"
43,4046,Fluxflux-1.1-proBlack Forest Labs · Proprietary,"1016±3 | 70,460"
44,4246,lucid-originLeonardo AI · Proprietary,"1013±3 | 285,469"
45,4246,Ideogramideogram-v2Ideogram · Proprietary,"1013±3 | 72,090"
46,4046,glm-imageZ.ai · MIT,"1010±9 | 4,604"
47,4748,gemini-2.0-flash-preview-image-generationGoogle · Proprietary,"975±3 | 257,063"
48,4749,Fluxflux-1-dev-fp8Black Forest Labs · Open,"970±4 | 49,221"
49,4849,dall-e-3OpenAI · Proprietary,"968±4 | 239,287"
50,5051,Fluxflux-1-kontext-devBlack Forest Labs · flux-1-dev-non-commercial-license,"941±4 | 215,338"
51,5051,Stabilitystable-diffusion-v35-largeStability AI · Open,"938±4 | 23,396"
52,5252,BytedancebagelBytedance · Apache 2.0,"898±6 | 12,409"
